Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
20170010256,Ciutat Vella,el Barri Gòtic,Laietana                                          ,Monday,December,11,13,Morning,1,0,1,2,2.173553,41.387734
20170010257,Les Corts,Pedralbes,Pedralbes / Til·lers                              ,Monday,December,11,17,Afternoon,1,0,1,2,2.119577,41.389598
20170010258,Eixample,la Nova Esquerra de l'Eixample,Aragó                                             ,Monday,December,11,19,Afternoon,1,0,1,2,2.152175,41.382472
20170010259,Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Monday,December,11,18,Afternoon,1,0,1,1,2.166162,41.388168
20170010260,Sarrià-Sant Gervasi,el Putxet i el Farró,General Mitre / Saragossa                         ,Monday,December,11,18,Afternoon,1,0,1,2,2.144159,41.405432
20170010261,Eixample,la Dreta de l'Eixample,Gràcia                                            ,Monday,December,11,19,Afternoon,1,0,1,1,2.1597779999999998,41.39589
20170010262,Horta-Guinardó,el Guinardó,Guinardó                                          ,Monday,December,11,21,Afternoon,1,0,1,2,2.170788,41.413633000000004
20170010263,Sant Martí,el Clot,Mallorca / Las Navas de Tolosa                    ,Monday,December,11,21,Afternoon,1,0,1,2,2.1889939999999997,41.413689
20170010264,Eixample,la Sagrada Família,Rosselló / Marina                                 ,Monday,December,11,23,Night,1,0,1,2,2.17332,41.405333
20170010265,Sants-Montjuïc,Sants - Badal,Pavia / Sugranyes                                 ,Monday,December,11,23,Night,2,0,2,2,2.130007,41.372083
20170010266,Les Corts,les Corts,Diagonal / Numància                               ,Tuesday,December,12,2,Night,1,0,1,2,2.1326080000000003,41.389624
20170010267,Sant Martí,la Vila Olímpica del Poblenou,Voluntaris Olímpics / Salvador Espriu             ,Tuesday,December,12,4,Night,1,0,1,2,2.1959470000000003,41.388026
20170010268,Sant Martí,el Poblenou,Litoral (Llobregat)                               ,Tuesday,December,12,7,Morning,1,0,1,3,2.208987,41.398714
20170010269,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Aribau                                            ,Tuesday,December,12,8,Morning,2,0,2,2,2.150067,41.395525
20170010270,Eixample,el Fort Pienc,Marina / Diputació                                ,Tuesday,December,12,8,Morning,1,0,1,2,2.179953,41.400065000000005
20170010271,Eixample,la Dreta de l'Eixample,Pau Claris / Diputació                            ,Tuesday,December,12,8,Morning,1,0,1,2,2.1686360000000002,41.39157
20170010272,Sant Martí,el Poblenou,Llacuna / Llull                                   ,Tuesday,December,12,9,Morning,1,0,1,2,2.200587,41.399832
20170010273,Gràcia,el Coll,Sant Marià                                        ,Tuesday,December,12,8,Morning,1,0,1,1,2.148593,41.417937
20170010274,Nou Barris,Vilapicina i la Torre Llobeta,Fabra i Puig                                      ,Tuesday,December,12,9,Morning,1,0,1,4,2.177031,41.430156
20170010275,Horta-Guinardó,Horta,B-20 (Llobregat)                                  ,Tuesday,December,12,9,Morning,1,0,1,2,2.1607529999999997,41.439688000000004
20170010276,Sarrià-Sant Gervasi,el Putxet i el Farró,Saragossa / Sant Hermenegild                      ,Tuesday,December,12,10,Morning,1,0,1,2,2.1459189999999997,41.404295
20170010277,Les Corts,la Maternitat i Sant Ramon,Doctor Marañón                                    ,Tuesday,December,12,11,Morning,2,0,2,1,2.116571,41.380757
20170010278,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Augusta / Gràcia                                  ,Tuesday,December,12,12,Morning,1,0,1,1,2.153258,41.398464000000004
20170010279,Ciutat Vella,la Barceloneta,Litoral (Llobregat)                               ,Tuesday,December,12,12,Morning,1,0,1,2,2.1949669999999997,41.387017
20170010280,Eixample,l'Antiga Esquerra de l'Eixample,Aragó / Muntaner                                  ,Tuesday,December,12,13,Morning,1,0,1,3,2.158465,41.38733
20170010281,Nou Barris,la Prosperitat,Júlia                                             ,Tuesday,December,12,14,Afternoon,2,0,2,2,2.175248,41.438819
20170010282,Eixample,la Nova Esquerra de l'Eixample,Aragó / Calàbria                                  ,Tuesday,December,12,14,Afternoon,1,0,1,4,2.151664,41.382226
20170010283,Les Corts,les Corts,Diagonal                                          ,Tuesday,December,12,14,Afternoon,2,0,2,2,2.14325,41.392009
20170010284,Eixample,la Dreta de l'Eixample,Nàpols / Consell de Cent                          ,Tuesday,December,12,14,Afternoon,2,0,2,2,2.175427,41.398385
20170010285,Sant Martí,el Parc i la Llacuna del Poblenou,Pujades / Zamora                                  ,Tuesday,December,12,13,Morning,2,0,2,1,2.191494,41.394708
